Type;TC- ID;Name /Title;preconditions;Steps to be Executed;Test Date;Expected Results;Actual Result;priority;status;Requirement Traceabilty;Test Type
POSITIVE;FACEBOOK_MESSAGING_POS_011;Verify user can send a photo/video from gallery to other facebook user;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on gallery icon 
6-Send a photo/video                                         ";photo/video from gallery;"Message should be sent  successfully and should be visible in the ""message requests"". ";"Message should be sent  successfully and should be visible in the ""message requests"". ";High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_012;Verify user can send edited photo/video from gallery to facebook friend;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on gallery icon                
6- Click on Edit  
7-Send a photo/video                                         ";edited photo/video from gallery;Message should be sent  successfully and should be visible in the conversation list. ;Message should be sent  successfully and should be visible in the conversation list. ;High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_013;Verify user can send edited photo/video from gallery to other facebook user;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on gallery icon 
6- Click on Edit  
7-Send a photo/video                                         ";edited photo/video from gallery;"Message should be sent  successfully and should be visible in the ""message requests"". ";"Message should be sent  successfully and should be visible in the ""message requests"". ";High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_014;Verify user can send multiple photos/videos at once from gallery to facebook friend;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on gallery icon 
6-Send multiple photos/videos                                         ";photos/videos from gallery;Message should be sent  successfully and should be visible in the conversation list. ;Message should be sent  successfully and should be visible in the conversation list. ;High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_015;Verify user can send multiple photos/videos at once from gallery to other facebook user;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation    
5-Click on gallery icon       
6-Send multiple photos/videos                                         ";photos/videos from gallery;"Message should be sent  successfully and should be visible in the ""message requests"". ";"Message should be sent  successfully and should be visible in the ""message requests"". ";High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_016;Verify user can send a photo/video using camera to facebook friend;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on camera icon        
6-Send a photo/video                                         ";photo/video using camera;Message should be sent  successfully and should be visible in the conversation list. ;Message should be sent  successfully and should be visible in the conversation list. ;High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_017;Verify user can send a photo/video using camera to other facebook user;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on camera icon 
 6-Send a photo/video                                         ";photo/video using camera;"Message should be sent  successfully and should be visible in the ""message requests"". ";"Message should be sent  successfully and should be visible in the ""message requests"". ";High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_018;Verify user can send edited photo/video using camera to facebook friend;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on gallery icon                          
 6- Click on Edit                                       
7-Send a photo/video                                         ";edited photo/video using camera;Message should be sent  successfully and should be visible in the conversation list. ;Message should be sent  successfully and should be visible in the conversation list. ;High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_019;Verify user can send edited photo/video using camera to other facebook user;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation   
5-Click on gallery icon                            
 6- Click on Edit                                     
7-Send a photo/video                                         ";edited photo/video using camera;"Message should be sent  successfully and should be visible in the ""message requests"". ";"Message should be sent  successfully and should be visible in the ""message requests"". ";High;Pass;FR 3 : Messaging;Manual
POSITIVE;FACEBOOK_MESSAGING_POS_020;Verify user can send location to facebook friend;App is Installed and Opened;"1- Open the Facebook mobile application
2- Login
3- Click on the Messenger icon   
4- Open a conversation    
5-Click on location icon                            
6-Send location";location;Message should be sent  successfully and should be visible in the conversation list. ;Message should be sent  successfully and should be visible in the conversation list. ;High;Pass;FR 3 : Messaging;Manual
